,article,cat0,cat1,cat2
1113,Common_Cuckoo,Science,Biology,Birds
1114,Common_Eider,Science,Biology,Birds
1115,Common_Eland,Science,Biology,Mammals
1116,Common_Hazel,Science,Biology,Plants
1117,Common_Pheasant,Science,Biology,Birds
1118,Common_Pheasant,Everyday_life,Food_and_agriculture,
1119,Common_Tern,Science,Biology,Birds
1120,Common_agouti,Science,Biology,Mammals
1121,Common_cold,Science,Biology,Health_and_medicine
1122,Common_sage,Science,Biology,Plants
1123,Commonwealth_Games,Everyday_life,Sports_events,
1124,Communication,Citizenship,Media,
1125,Communism,Citizenship,Politics_and_government,
1126,Community,Citizenship,Culture_and_Diversity,
1127,Comoros,Geography,African_Geography,African_Countries
1128,Compact_Disc,IT,Computing_hardware_and_infrastructure,
1129,Company_(law),Business_Studies,Business,
1130,Compsognathus,Science,Biology,Dinosaurs
1131,Computational_chemistry,Science,Chemistry,General_Chemistry
1132,Computer,IT,Computing_hardware_and_infrastructure,
1133,Computer_and_video_games,Everyday_life,Computer_and_Video_games,
1134,Computer_programming,IT,Computer_Programming,
1135,Computer_science,IT,Computer_Programming,
1136,Conakry,Geography,African_Geography,
1137,Concorde,Design_and_Technology,Air_and_Sea_transport,
1138,Condoleezza_Rice,People,Political_People,
1139,Conflict,Citizenship,Conflict_and_Peace,
1140,Confucianism,Religion,Philosophy,
1141,Confucius,People,Philosophers,
1142,Congo_River,Geography,African_Geography,
1143,Consolation_of_Philosophy,Religion,Philosophy,
1144,Constantine_I,People,Historical_figures,
1145,Constantine_II_of_Scotland,History,British_History,British_History_1500_and_before_including_Roman_Britain
1146,"Constitution_of_May_3,_1791",Citizenship,Law,
1147,Constitutional_monarchy,Citizenship,Politics_and_government,
1148,Constructivism_(art),Art,Art,
1149,Consumer_protection,Citizenship,Law,
1150,Contact_lens,Design_and_Technology,Engineering,
1151,Continent,Geography,General_Geography,
1152,Continental_crust,Geography,Geology_and_geophysics,
1153,Control_car_(rail),Design_and_Technology,Railway_transport,
1154,Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,Citizenship,Animal_and_Human_Rights,
1155,Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,Citizenship,Law,
1156,Convention_on_the_Rights_of_the_Child,Citizenship,Animal_and_Human_Rights,
1157,Cook_Islands,Countries,,
1158,Cook_Islands,Geography,Geography_of_Oceania_Australasia,
1159,Cookiecutter_shark,Science,Biology,Insects_Reptiles_and_Fish
1160,Cooperative,Business_Studies,Business,
1161,Cooperative,Citizenship,Community_organisations,
1162,Coot,Science,Biology,Birds
1163,Copenhagen,Geography,European_Geography,
1164,Copenhagen_Fire_of_1728,History,General_history,
1165,Copper,Science,Chemistry,Chemical_elements
1166,Copper(I)_chloride,Science,Chemistry,Chemical_compounds
1167,Coriander,Everyday_life,Food_and_agriculture,
1168,Coriander,Science,Biology,Plants
1169,Corinthian_War,History,Pre_1900_Military,
1170,Cormorant,Science,Biology,Birds
1171,Corn_oil,Everyday_life,Food_and_agriculture,
1172,Cornea,Science,Biology,Health_and_medicine
1173,Cornell_University,Citizenship,Education,
1174,Coronation_Street,Everyday_life,Television,
1175,Corporate_finance,Business_Studies,Business,
1176,Corporation,Business_Studies,Business,
1177,Corrosion,Design_and_Technology,Engineering,
1178,Corundum,Geography,Mineralogy,
1179,Cosmic_inflation,Science,Physics,Space_Astronomy
1180,Cosmic_microwave_background_radiation,Science,Physics,Space_Astronomy
1181,Costa_Rica,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
1182,Costa_Rica,Countries,,
1183,Costume_design,Language_and_literature,Theatre,
1184,Cotopaxi,Geography,Central_and_South_American_Geography,
1185,Cotopaxi,Geography,Natural_Disasters,
1186,Cotswolds,Geography,Geography_of_Great_Britain,
1187,Cotton,Science,Biology,Plants
1188,Coulomb's_law,Science,Physics,Electricity_and_Electronics
1189,Country,Geography,General_Geography,
1190,Coupling_(railway),Design_and_Technology,Railway_transport,
1191,Coventry,Geography,Geography_of_Great_Britain,
1192,Crab_Nebula,Science,Physics,Space_Astronomy
1193,Crash_test_dummy,Design_and_Technology,Engineering,
1194,Craters_of_the_Moon_National_Monument_and_Preserve,Geography,North_American_Geography,
1195,Craton,Geography,Geology_and_geophysics,
1196,Creation-evolution_controversy,Science,Biology,Evolution_and_reproduction
1197,Creation-evolution_controversy,Religion,Religious_disputes,
1198,Creationism,Religion,Myths,
1199,Creationism,Religion,Religious_disputes,
1200,Creative_Commons,Citizenship,Law,
1201,Cretaceous,Geography,Geology_and_geophysics,
1202,Cretaceous-Tertiary_extinction_event,History,Ancient_History_Classical_History_and_Mythology,
1203,Cretaceous-Tertiary_extinction_event,Geography,Geology_and_geophysics,
1204,Cricket,Everyday_life,Sports,
1205,Crime,Citizenship,Law,
1206,Crime_and_Punishment,Language_and_literature,Novels,
1207,Crime_in_Mexico,Geography,Central_and_South_American_Geography,
1208,Crimean_Karaites,Geography,Peoples,
1209,Crimean_War,History,Pre_1900_Military,
1210,Crimson-collared_Tanager,Science,Biology,Birds
1211,Cristero_War,History,Military_History_and_War,
1212,Criticism_of_the_War_on_Terrorism,Citizenship,Politics_and_government,
1213,Croatia,Countries,,
1214,Croatia,Geography,European_Geography,European_Countries
1215,Crocodile,Science,Biology,Insects_Reptiles_and_Fish
1216,Crohn's_disease,Science,Biology,Health_and_medicine
1217,Cross_Fell,Geography,Geography_of_Great_Britain,
1218,Crossbill,Science,Biology,Birds
1219,Crow,Science,Biology,Birds
1220,Crown_Jewels_of_the_United_Kingdom,History,British_History,
1221,Crown_Jewels_of_the_United_Kingdom,Citizenship,Politics_and_government,
1222,Crusades,History,Pre_1900_Military,
1223,Crusades,Religion,Religious_disputes,
1224,Crust_(geology),Geography,Geology_and_geophysics,
1225,Crustacean,Science,Biology,Organisms
1226,Cryptography,IT,Cryptography,
1227,Crystal,Science,Chemistry,Materials_science
1228,Crystallographic_defects_in_diamond,Science,Chemistry,Materials_science
1229,Cuba,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
1230,Cuba,Countries,,
1231,Cubeb,Science,Biology,Plants
1232,Cubism,Art,Art,
1233,Cuckmere_Haven,Geography,Geography_of_Great_Britain,
1234,Cultivar,Everyday_life,Food_and_agriculture,
1235,Cultivar,Science,Biology,General_Biology
1236,Cultural_diversity,Citizenship,Culture_and_Diversity,
1237,Cultural_identity,Citizenship,Culture_and_Diversity,
1238,Culture,Everyday_life,Everyday_life,
1239,Culture_of_the_Democratic_Republic_of_the_Congo,Geography,African_Geography,
1240,Curium,Science,Chemistry,Chemical_elements
1241,Currency,Business_Studies,Currency,
1242,Cyanocobalamin,Science,Chemistry,Chemical_compounds
1243,Cyberpunk,Language_and_literature,Literature_types,
1244,Cyclamen,Science,Biology,Plants
1245,Cyclamen,Everyday_life,Recreation,
1246,Cyclone_Percy,Geography,Natural_Disasters,
1247,Cyclone_Percy,Geography,Storms,
1248,Cyclone_Rosita,Geography,Natural_Disasters,
1249,Cyclone_Rosita,Geography,Storms,
1250,Cyclops,History,Ancient_History_Classical_History_and_Mythology,
1251,Cymbopogon,Everyday_life,Food_and_agriculture,
1252,Cymbopogon,Science,Biology,Plants
1253,Cyprus,Countries,,
1254,Cyprus,Geography,European_Geography,European_Countries
1255,Cyril_Clarke,People,Human_Scientists,
1256,Cyrus_K._Holliday,People,Political_People,
1257,Cyrus_the_Great,People,Historical_figures,
1258,Cystic_fibrosis,Science,Biology,Health_and_medicine
1259,Czech_Republic,Countries,,
1260,Czech_Republic,Geography,European_Geography,European_Countries
1261,Dál_Riata,History,British_History,British_History_1500_and_before_including_Roman_Britain
1262,Düsseldorf,Geography,European_Geography,
1263,DNA,Science,Biology,General_Biology
1264,DNA_repair,Science,Biology,General_Biology
1265,DVD,IT,Computing_hardware_and_infrastructure,
1266,Dad's_Army,Everyday_life,Television,
1267,Dada,Citizenship,Culture_and_Diversity,
1268,Dakar,Geography,African_Geography,
1269,"Dakota,_Minnesota_and_Eastern_Railroad",Design_and_Technology,Railway_transport,
1270,Daley_Thompson,People,Sports_and_games_people,
1271,"Dallas,_Texas",Geography,North_American_Geography,
1272,Dam,Design_and_Technology,Engineering,
1273,Damascus,Geography,Geography_of_the_Middle_East,
1274,Damascus_steel,Design_and_Technology,Engineering,
1275,Damon_Hill,People,Sports_and_games_people,
1276,Dance,Everyday_life,Recreation,
1277,Dandelion,Science,Biology,Plants
1278,Daniel_Day-Lewis,People,Actors_models_and_celebrities,
1279,Daniel_Ellsberg,People,Political_People,
1280,Danny_Deever,Language_and_literature,Poetry_and_Opera,
1281,Danske_Statsbaner,Design_and_Technology,Railway_transport,
1282,Dante_Alighieri,People,Writers_and_critics,
1283,Danube,Geography,European_Geography,
1284,Darfur_conflict,History,Military_History_and_War,
1285,Dark_Ages,History,General_history,
1286,Darling_River,Geography,Geography_of_Oceania_Australasia,
1287,Darmstadtium,Science,Chemistry,Chemical_elements
1288,Darth_Vader,Everyday_life,Films,
1289,Dartmoor,Geography,Geography_of_Great_Britain,
1290,Das_Kapital,Business_Studies,Economics,
1291,Data_Encryption_Standard,IT,Cryptography,
1292,David_Attenborough,People,Producers_directors_and_media_figures,
1293,David_Beckham,People,Sports_and_games_people,
1294,David_Blanchflower,People,Political_People,
1295,David_Cameron,People,Political_People,
1296,David_Copperfield_(novel),Language_and_literature,Novels,
1297,David_Helvarg,People,Writers_and_critics,
1298,David_Heymann,People,Political_People,
1299,David_Hilbert,People,Mathematicians,
1300,David_Hume,People,Philosophers,
1301,David_III_of_Tao,History,Ancient_History_Classical_History_and_Mythology,
1302,David_Livingstone,History,British_History,British_History_17501900
1303,David_Livingstone,People,Geographers_and_explorers,
1304,Davis_Cup,Everyday_life,Sports_events,
1305,Davy_Jones'_Locker,Religion,Myths,
1306,Day,Everyday_life,Everyday_life,
1307,Dayuan,Geography,Peoples,
1308,Dead_Sea,Geography,General_Geography,
1309,Dead_Sea_scrolls,Religion,Religious_texts,
1310,Death_Valley_National_Park,Geography,North_American_Geography,
1311,Decade_Volcanoes,Geography,Geology_and_geophysics,
1312,Deconstructivism,Design_and_Technology,Architecture,
1313,Defaka,Geography,African_Geography,
1314,Defense_of_Sihang_Warehouse,History,Military_History_and_War,
1315,Definition_of_planet,Science,Physics,The_Planets
1316,Deinonychus,Science,Biology,Dinosaurs
1317,Deity,Religion,Divinities,
1318,Delhi,Geography,Geography_of_Asia,
1319,Deluge_(mythology),Religion,Myths,
1320,Demand_Note,Business_Studies,Currency,
1321,Democracy,Citizenship,Politics_and_government,
1322,Democratic_Action_Party,Citizenship,Politics_and_government,
1323,Democratic_Republic_of_the_Congo,Geography,African_Geography,African_Countries
1324,Demosthenes,History,Ancient_History_Classical_History_and_Mythology,
1325,Demosthenes,People,Historical_figures,
1326,Denis_Law,People,Sports_and_games_people,
1327,Denmark,Countries,,
1328,Denmark,Geography,European_Geography,European_Countries
1329,Dennis_Ritchie,People,Computing_People,
1330,"Denver,_Colorado",Geography,North_American_Geography,
1331,Derby,Geography,Geography_of_Great_Britain,
1332,Desert,Geography,Climate_and_the_Weather,
1333,Desert,Geography,Geology_and_geophysics,
1334,Desert_locust,Science,Biology,Insects_Reptiles_and_Fish
1335,Desmond_Tutu,People,Religious_figures_and_leaders,
1336,Despotism,Citizenship,Politics_and_government,
1337,"Detroit,_Michigan",Geography,North_American_Geography,
1338,Devonian,Geography,Geology_and_geophysics,
1339,Dewey_Square,Geography,North_American_Geography,
1340,Diabetes_mellitus,Science,Biology,Health_and_medicine
1341,Diamond,Geography,Mineralogy,
1342,Diamond_cut,Science,Chemistry,Materials_science
1343,Diamond_simulant,Science,Chemistry,Materials_science
1344,Diane_Keaton,People,Actors_models_and_celebrities,
1345,Dice,Everyday_life,Games,
1346,Dido_and_Aeneas,Language_and_literature,Poetry_and_Opera,
1347,Diego_Garcia,Geography,Geography_of_Asia,
1348,Diego_Maradona,People,Sports_and_games_people,
1349,Diego_Velázquez,People,Artists,
1350,Differential_equation,Mathematics,,
1351,Differential_geometry_and_topology,Mathematics,,
1352,Diffuse_interstellar_band,Science,Physics,Space_Astronomy
1353,Dik-dik,Science,Biology,Mammals
1354,Dill,Science,Biology,Plants
1355,Dilophosaurus,Science,Biology,Dinosaurs
1356,Dimetrodon,Science,Biology,Dinosaurs
1357,Dingo,Science,Biology,Mammals
1358,Dinosaur,Science,Biology,Dinosaurs
1359,Diplodocus,Science,Biology,Dinosaurs
1360,Directive_Principles_in_India,Citizenship,Politics_and_government,
1361,Disneyland_Railroad,Design_and_Technology,Railway_transport,
1362,Distilled_beverage,Everyday_life,Drink,
1363,Dixie_Mission,History,World_War_II,
1364,Djibouti,Geography,African_Geography,African_Countries
1365,Djibouti,Countries,,
1366,Dmitri_Mendeleev,People,Chemists,
1367,Doctor_Who,Everyday_life,Television,
1368,Dodo,Science,Biology,Birds
1369,Dog,Science,Biology,Mammals
1370,Doha,Geography,Geography_of_the_Middle_East,
1371,Dolphin,Science,Biology,Mammals
1372,Domesday_Book,History,British_History,British_History_1500_and_before_including_Roman_Britain
1373,Domestic_AC_power_plugs_and_sockets,Design_and_Technology,Engineering,
1374,Domestic_goat,Everyday_life,Food_and_agriculture,
1375,Domestic_goat,Science,Biology,Mammals
1376,Domesticated_turkey,Science,Biology,Birds
1377,Dominica,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
1378,Dominica,Countries,,
1379,Dominican_Republic,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
1380,Dominican_Republic,Countries,,
1381,Donald_Bradman,People,Sports_and_games_people,
1382,Donald_Duck,Everyday_life,Cartoons,
1383,Donald_Knuth,People,Computing_People,
1384,Doom,Everyday_life,Computer_and_Video_games,
1385,Dorset,Geography,Geography_of_Great_Britain,
1386,Double-decker_bus,Design_and_Technology,Road_transport,
1387,Double_bass,Music,Musical_Instruments,
1388,Douglas_Adams,People,Writers_and_critics,
1389,Douglas_DC-4,Design_and_Technology,Air_and_Sea_transport,
1390,Dove,Science,Biology,Birds
1391,Dover,Geography,Geography_of_Great_Britain,
1392,Down_syndrome,Science,Biology,Health_and_medicine
1393,Dr._Seuss,People,Writers_and_critics,
1394,Drama,Art,Art,
1395,Drama,Language_and_literature,Theatre,
1396,Draughts,Everyday_life,Games,
1397,Drawing,Art,Art,
1398,Dresden,Geography,European_Geography,
1399,Drinking_water,Everyday_life,Drink,
1400,Driving_on_the_left_or_right,Design_and_Technology,Road_transport,
1401,Drosera_anglica,Science,Biology,Plants
1402,Drosophila_melanogaster,Science,Biology,Insects_Reptiles_and_Fish
1403,Drought,Geography,Climate_and_the_Weather,
1404,Drum_and_bass,Music,Musical_genres_styles_eras_and_events,
1405,Du_Fu,People,Writers_and_critics,
1406,Dualism_(philosophy_of_mind),Religion,Philosophy,
1407,Dubai,Countries,,
1408,Dubai,Geography,Geography_of_the_Middle_East,Middle_Eastern_Countries
1409,Dublin,Geography,European_Geography,
1410,Dubnium,Science,Chemistry,Chemical_elements
1411,Duchenne_muscular_dystrophy,Science,Biology,Health_and_medicine
1412,Dundee,Geography,Geography_of_Great_Britain,
1413,Dundee_United_F.C.,Everyday_life,Sports_teams,
1414,Dune,Geography,Geology_and_geophysics,
1415,Dunnock,Science,Biology,Birds
1416,Dunstable_Downs,Geography,Geography_of_Great_Britain,
1417,Duran_Duran,Music,Performers_and_composers,
1418,Durham,Geography,Geography_of_Great_Britain,
1419,Durham_Cathedral,Design_and_Technology,Architecture,
1420,Durian,Everyday_life,Food_and_agriculture,
1421,Dutch_language,Language_and_literature,Languages,
1422,Dwight_D._Eisenhower,People,USA_Presidents,
1423,Dysprosium,Science,Chemistry,Chemical_elements
1424,E.T._the_Extra-Terrestrial_(Atari_2600),Everyday_life,Computer_and_Video_games,
1425,E._E._Cummings,People,Writers_and_critics,
1426,E._P._Wigner,People,Astronomers_and_physicists,
1427,ECHELON,Citizenship,Politics_and_government,
1428,EMD_BL2,Design_and_Technology,Railway_transport,
1429,EMD_F7,Design_and_Technology,Railway_transport,
1430,EMD_GP30,Design_and_Technology,Railway_transport,
1431,Eagle,Science,Biology,Birds
1432,Eagle_Scout_(Boy_Scouts_of_America),Citizenship,Community_organisations,
1433,Earl_of_Shaftesbury,People,Political_People,
1434,Earless_seal,Science,Biology,Mammals
1435,Earth,Science,Physics,The_Planets
1436,Earth's_atmosphere,Geography,Climate_and_the_Weather,
1437,Earthquake,Geography,Natural_Disasters,
1438,Earwax,Science,Biology,Health_and_medicine
1439,East-West_Schism,Religion,Religious_disputes,
1440,EastEnders,Everyday_life,Television,
1441,East_Africa,Geography,African_Geography,
1442,East_Flemish,Language_and_literature,Languages,
1443,East_Timor,Geography,Geography_of_Asia,Asian_Countries
1444,East_Timor,Countries,,
1445,Easter_Island,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
1446,Easter_Island,Countries,,
1447,Eastern_Orthodox_Church,Religion,Religious_movements_traditions_and_organizations,
1448,Eastern_Roman_Empire,History,General_history,
1449,Ebony,Science,Biology,Plants
1450,Ecology,Science,Biology,General_Biology
1451,Economic_inequality,Business_Studies,Economics,
1452,Economics,Business_Studies,Economics,
1453,Economy_of_Africa,Business_Studies,Economics,
1454,Economy_of_India,Business_Studies,Economics,
1455,Economy_of_Pakistan,Business_Studies,Economics,
1456,Economy_of_Scotland,Business_Studies,Economics,
1457,Economy_of_the_Iroquois,Business_Studies,Economics,
1458,Economy_of_the_Republic_of_Ireland,Business_Studies,Economics,
1459,Ecuador,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
1460,Ecuador,Countries,,
1461,Edema,Science,Biology,Health_and_medicine
1462,Edgar_Allan_Poe,People,Writers_and_critics,
1463,Edible_salt,Science,Chemistry,Chemical_compounds
1464,Edible_salt,Science,Biology,Health_and_medicine
1465,Edinburgh,Geography,Geography_of_Great_Britain,
1466,Edmond_Halley,People,Mathematicians,
1467,Edmond_Halley,Science,Physics,Space_Astronomy
1468,Edmonton,Geography,North_American_Geography,
1469,Edmund_Burke,People,Political_People,
1470,Edmund_Hillary,People,Geographers_and_explorers,
1471,Education,Citizenship,Education,
1472,Education_in_the_United_States,Geography,North_American_Geography,
1473,Educational_psychology,Citizenship,Education,
1474,Edward_Gibbon,History,Historians_chroniclers_and_history_books,
1475,Edward_III_of_England,History,British_History,British_History_1500_and_before_including_Roman_Britain
1476,Edward_II_of_England,History,British_History,British_History_1500_and_before_including_Roman_Britain
1477,Edward_II_of_England,People,Monarchs_of_Great_Britain,
1478,Edward_IV_of_England,History,British_History,British_History_1500_and_before_including_Roman_Britain
1479,Edward_IV_of_England,People,Monarchs_of_Great_Britain,
1480,Edward_I_of_England,History,British_History,British_History_1500_and_before_including_Roman_Britain
1481,Edward_I_of_England,People,Monarchs_of_Great_Britain,
1482,Edward_Jenner,People,Human_Scientists,
1483,Edward_Teller,People,Astronomers_and_physicists,
1484,Edward_VIII_of_the_United_Kingdom,History,British_History,British_History_Post_1900
1485,Edward_VIII_of_the_United_Kingdom,People,Monarchs_of_Great_Britain,
1486,Edward_VII_of_the_United_Kingdom,History,British_History,British_History_Post_1900
1487,Edward_VII_of_the_United_Kingdom,People,Monarchs_of_Great_Britain,
1488,Edward_VI_of_England,History,British_History,British_History_15001750
1489,Edward_V_of_England,History,British_History,British_History_1500_and_before_including_Roman_Britain
1490,Edward_the_Confessor,History,British_History,British_History_1500_and_before_including_Roman_Britain
1491,Edward_the_Confessor,People,Monarchs_of_Great_Britain,
1492,Edward_the_Confessor,People,Religious_figures_and_leaders,
1493,Edwin_of_Northumbria,History,British_History,British_History_1500_and_before_including_Roman_Britain
1494,Edwin_of_Northumbria,People,Historical_figures,
1495,Effect_of_Hurricane_Katrina_on_New_Orleans,Geography,Natural_Disasters,
1496,Effects_of_global_warming,Geography,Climate_and_the_Weather,
1497,Effects_of_global_warming,Geography,Natural_Disasters,
1498,Effects_of_nuclear_explosions,History,Military_History_and_War,
1499,Egg_(food),Everyday_life,Food_and_agriculture,
1500,Egypt,Geography,African_Geography,African_Countries
1501,Egypt,Countries,,
1502,Egyptian_pyramids,History,Archaeology,
1503,Eifel_Aqueduct,Design_and_Technology,Engineering,
1504,Eilmer_of_Malmesbury,History,British_History,British_History_1500_and_before_including_Roman_Britain
1505,Eilmer_of_Malmesbury,People,Historical_figures,
1506,Einsteinium,Science,Chemistry,Chemical_elements
1507,El_Aaiún,Geography,African_Geography,
1508,"El_Hatillo_Municipality,_Miranda",Geography,Central_and_South_American_Geography,
1509,El_Lissitzky,People,Artists,
1510,El_Niño-Southern_Oscillation,Geography,Climate_and_the_Weather,
1511,El_Salvador,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
1512,El_Salvador,Countries,,
1513,Elagabalus,History,Ancient_History_Classical_History_and_Mythology,
1514,Elagabalus,People,Historical_figures,
1515,Eldfell,Geography,European_Geography,
1516,Election,Citizenship,Politics_and_government,
1517,Electric_charge,Science,Physics,Electricity_and_Electronics
1518,Electric_field,Science,Physics,Electricity_and_Electronics
1519,Electrical_engineering,Design_and_Technology,Engineering,
1520,Electrical_resistance,Science,Physics,Electricity_and_Electronics
1521,Electricity,Science,Physics,Electricity_and_Electronics
1522,Electromagnetic_radiation,Science,Physics,Electricity_and_Electronics
1523,Electron,Science,Physics,Electricity_and_Electronics
1524,Electron_beam_welding,Design_and_Technology,Engineering,
1525,Electronic_amplifier,Design_and_Technology,Engineering,
1526,Electronics,Design_and_Technology,Engineering,
1527,Elementary_algebra,Mathematics,,
1528,Elementary_arithmetic,Mathematics,,
1529,Elementary_group_theory,Mathematics,,
1530,Eleocharis_dulcis,Science,Biology,Plants
1531,Elephant,Science,Biology,Mammals
1532,Elephant_bird,Science,Biology,Birds
1533,Elephant_shrew,Science,Biology,Mammals
1534,Elfin-woods_Warbler,Science,Biology,Birds
1535,Elias_Ashmole,People,Historical_figures,
1536,Eliminative_materialism,Religion,Philosophy,
1537,Elizabeth_Fry,History,British_History,British_History_17501900
1538,Elizabeth_Fry,People,Political_People,
1539,Elizabeth_II_of_the_United_Kingdom,History,British_History,British_History_Post_1900
1540,Elizabeth_II_of_the_United_Kingdom,People,Political_People,
1541,Elizabeth_I_of_England,People,Monarchs_of_Great_Britain,
1542,Elizabethan_Poor_Law_(1601),History,British_History,British_History_15001750
1543,Elvis_Presley,People,Performers_and_composers,
1544,Emacs,IT,Software,
1545,Emanuel_Swedenborg,People,Philosophers,
1546,Emirate,Citizenship,Politics_and_government,
1547,Emma_Roberts,People,Actors_models_and_celebrities,
1548,Emotion,Everyday_life,Everyday_life,
1549,Emotion,Science,Biology,Health_and_medicine
1550,Emperor_Penguin,Science,Biology,Birds
1551,Empires__Dawn_of_the_Modern_World,Everyday_life,Computer_and_Video_games,
1552,Empiricism,Religion,Philosophy,
1553,Employment,Business_Studies,Business,
1554,Emu,Science,Biology,Birds
1555,Enceladus_(moon),Science,Physics,Space_Astronomy
1556,Encyclopædia_Britannica,Language_and_literature,General_Literature,
1557,Endoscopic_foreign_body_retrieval,Science,Biology,Health_and_medicine
1558,Energy,Science,Physics,General_Physics
1559,Engineering,Design_and_Technology,Engineering,
1560,England,Geography,Geography_of_Great_Britain,
1561,England_expects_that_every_man_will_do_his_duty,History,British_History,British_History_17501900
1562,English_Channel,Geography,General_Geography,
1563,English_Reformation,History,British_History,British_History_15001750
1564,English_language,Language_and_literature,Languages,
1565,English_monarchs_family_tree,History,British_History,
1566,English_peasants'_revolt_of_1381,History,British_History,British_History_1500_and_before_including_Roman_Britain
1567,English_poetry,Language_and_literature,Poetry_and_Opera,
1568,Enigma_machine,IT,Cryptography,
1569,Enigma_machine,Design_and_Technology,Engineering,
1570,Entropy,Science,Physics,General_Physics
1571,Environmental_science,Citizenship,Environment,
1572,Enzyme_kinetics,Science,Chemistry,General_Chemistry
1573,Eocene,Geography,Geology_and_geophysics,
1574,Epaminondas,People,Military_People,
1575,Epazote,Science,Biology,Plants
1576,Epic_of_Gilgamesh,History,Ancient_History_Classical_History_and_Mythology,
1577,Epic_of_Gilgamesh,Language_and_literature,Poetry_and_Opera,
1578,Episcopal_polity,Religion,Religious_movements_traditions_and_organizations,
1579,Equal_Protection_Clause,Citizenship,Law,
1580,Equatorial_Guinea,Geography,African_Geography,African_Countries
1581,Equatorial_Guinea,Countries,,
1582,Erbium,Science,Chemistry,Chemical_elements
1583,Eric_Clapton,People,Performers_and_composers,
1584,Erie_Canal,Geography,North_American_Geography,
1585,Eris_(dwarf_planet),Science,Physics,Space_Astronomy
1586,Eritrea,Geography,African_Geography,African_Countries
1587,Eritrea,Countries,,
1588,Ernest_Hemingway,People,Writers_and_critics,
1589,Ernest_Rutherford,History,British_History,British_History_17501900
1590,Ernest_Rutherford,People,Engineers_and_inventors,
1591,Eruption_column,Geography,Geology_and_geophysics,
1592,Erwin_Rommel,History,World_War_II,
1593,Eskimo,Geography,Peoples,
1594,Esox,Science,Biology,Insects_Reptiles_and_Fish
1595,Esperanto,Language_and_literature,Languages,
1596,Essential_oil,Science,Biology,General_Biology
1597,Estonia,Countries,,
1598,Estonia,Geography,European_Geography,European_Countries
1599,Ethanol,Science,Chemistry,Chemical_compounds
1600,Ethics,Citizenship,Environment,
1601,Ethics,Religion,Philosophy,
1602,Ethiopia,Geography,African_Geography,African_Countries
1603,Ethiopia,Countries,,
1604,Ethiopian_Wolf,Science,Biology,Mammals
1605,Ethnic_group,Citizenship,Culture_and_Diversity,
1606,Euclid,People,Mathematicians,
1607,Euclidean_geometry,Mathematics,,
1608,Eukaryote,Science,Biology,Organisms
1609,Euphrates,Geography,Geography_of_the_Middle_East,
1610,Eurasian_Bullfinch,Science,Biology,Birds
1611,Eurasian_Collared_Dove,Science,Biology,Birds
1612,Eurasian_Eagle_Owl,Science,Biology,Birds
1613,Eurasian_Jay,Science,Biology,Birds
1614,Eurasian_Oystercatcher,Science,Biology,Birds
1615,Euro,Business_Studies,Currency,
1616,Europe,Geography,European_Geography,
1617,European_Goldfinch,Science,Biology,Birds
1618,European_Greenfinch,Science,Biology,Birds
1619,European_Kingfisher,Science,Biology,Birds
1620,European_Parliament,Citizenship,Politics_and_government,
1621,European_Space_Agency,Science,Physics,Space_transport
1622,European_Union,Citizenship,Politics_and_government,
1623,Europium,Science,Chemistry,Chemical_elements
1624,Eurovision_Song_Contest,Music,Musical_genres_styles_eras_and_events,
1625,Euston_Manifesto,Citizenship,Politics_and_government,
1626,Eustreptospondylus,Science,Biology,Dinosaurs
1627,Eva_Perón,People,Political_People,
1628,Evan_Rachel_Wood,People,Actors_models_and_celebrities,
1629,Evanton,Geography,European_Geography,
1630,Evolution,Science,Biology,Evolution_and_reproduction
1631,Evolutionarily_stable_strategy,Citizenship,Environment,
1632,Evolutionarily_stable_strategy,Citizenship,Politics_and_government,
1633,Existentialism,Religion,Philosophy,
1634,Exploration_of_Mars,Science,Physics,Space_transport
1635,Explorer_I,Science,Physics,Space_transport
1636,Expressionism,Art,Art,
1637,Extinct_birds,Science,Biology,Birds
1638,Extinction,Citizenship,Environment,
1639,Extinction,Science,Biology,General_Biology
1640,Extrasolar_planet,Science,Physics,Space_Astronomy
1641,Extraterrestrial_life,Science,Physics,Space_Astronomy
1642,Eye,Science,Biology,Health_and_medicine
1643,Eye_(cyclone),Geography,Climate_and_the_Weather,
1644,Eyelid,Science,Biology,Health_and_medicine
1645,Ezra_Pound,People,Writers_and_critics,
1646,F-35_Lightning_II,Design_and_Technology,Air_and_Sea_transport,
1647,F-35_Lightning_II,History,Military_History_and_War,
1648,F-4_Phantom_II,Design_and_Technology,Air_and_Sea_transport,
1649,F-4_Phantom_II,History,Military_History_and_War,
1650,FIFA,Everyday_life,Sports,
1651,FIFA_World_Cup,Everyday_life,Sports_events,
1652,FM_Consolidated_line,Design_and_Technology,Railway_transport,
